1,92.02,5
1,17.35,2
1,25.04,2
1,9.07,1
0,46.44,3
0,39.3,4
1,83.25,5
1,54.54,3
0,57.81,3
1,16.25,2
0,69.58,2
0,59.39,3
0,57.91,3
1,79.85,4
0,60.66,2
1,77.37,4
1,42.89,3
1,1.61,1
1,5.41,1
1,84.64,5
0,90.42,1
1,26.8,2
0,48.89,3
0,90.14,1
1,91.8,5
1,9.95,1
0,40.63,3
1,50.84,3
0,47.56,3
1,95.94,5
1,50.22,3
1,41.48,3
0,28.11,4
0,38.07,4
0,61.72,2
0,77.36,2
0,88.36,1
1,40.42,3
1,62.05,4
1,23.12,2
0,69.62,2
0,49.18,3
1,41.96,3
0,53.98,3
1,69.56,4
1,20.57,2
1,60.82,4
0,89.27,1
0,69.25,2
1,71.24,4
1,18.1,2
1,25.16,2
0,2.19,5
0,3.52,5
1,16.8,2
1,3.7,1
1,82.28,5
0,96.28,1
0,20.62,4
0,48.21,3
1,27.22,2
1,85.16,5
0,9.39,5
0,52.87,3
0,92.25,1
1,6.3,1
0,97.33,1
1,15.94,2
0,90.56,1
1,86.86,5
0,54.76,3
1,8.89,1
0,77.26,2
1,78.08,4
1,37.47,2
1,38.97,2
1,14.6,2
1,14.86,2
1,99.99,5
1,78.45,4
1,91.63,5
0,35.64,4
0,33.84,4
0,88.67,1
1,88.28,5
1,68.37,4
1,19.61,2
0,29.98,4
1,53.14,3
1,79.42,4
0,60.15,2
0,46.4,3
1,58.35,3
0,90.35,1
0,49.07,3
1,43.09,3
0,52.15,3
1,80.51,5
1,76.03,4
1,1.68,1
0,86.11,1
1,65.64,4
0,50.98,3
1,55.49,3
0,25.87,4
0,91.32,1
0,15.82,4
0,73.08,2
1,37.65,2
1,50.35,3
1,21.12,2
1,73.26,4
1,38.86,2
1,80.54,5
0,53.56,3
1,51.24,3
0,72.37,2
0,52.27,3
1,24.56,2
0,20.48,4
1,67.81,4
1,51.77,3
0,1.79,5
1,92.57,5
1,73.37,4
0,67.46,2
1,39.88,2
0,56.84,3
1,79.37,4
1,85.06,5
1,38.06,2
0,99.19,1
0,13.89,4
0,54.75,3
1,17.79,2
0,99.61,1
0,66.89,2
1,87.6,5
1,86.61,5
0,3.43,5
0,11.78,4
0,13.76,4
1,48.88,3
1,87.57,5
0,64.65,2
0,70.77,2
1,84.13,5
1,25.73,2
0,91.82,1
1,21.96,2
1,24.86,2
0,16.63,4
0,89.94,1
0,60.14,2
1,12.07,2
1,31.13,2
0,79.8,2
0,54.28,3
1,38.02,2
1,26.3,2
0,95.8,1
0,61.35,2
1,40.63,3
1,48.58,3
0,5.04,5
1,59.2,3
1,3.95,1
0,70.2,2
0,67.09,2
1,89.16,5
0,41.61,3
1,22.3,2
1,54.9,3
0,42.72,3
0,94.14,1
0,81.71,1
1,51.59,3
1,39.93,2
0,50.2,3
1,43.08,3
1,33.56,2
1,1.48,1
1,62.03,4
1,26.46,2
1,8.05,1
0,21.25,4
1,59.44,3
0,82.11,1
1,16.95,2
0,69.92,2
1,45.12,3
1,39.81,2
0,9.2,5
0,66.45,2
1,88.46,5
1,70.19,4
0,38.77,4
1,6.01,1
0,63.46,2
0,95.87,1
0,10.77,4
1,75.86,4
1,6.38,1
1,98.79,5
0,41.22,3
1,4.48,1
1,8.85,1
1,57.07,3
0,45.91,3
0,51.46,3
1,26.35,2
1,12.34,2
1,82.4,5
1,6.35,1
0,49.3,3
0,13.92,4
1,25.03,2
1,83.06,5
1,64.11,4
0,97.36,1
0,81.99,1
1,83.36,5
0,40.95,3
0,82.55,1
1,9.04,1
0,73.14,2
1,20.82,2
1,76.16,4
0,6.31,5
0,96.17,1
1,33.12,2
1,89.22,5
1,71.79,4
0,47.49,3
0,65.29,2
1,68.44,4
0,48.49,3
1,48.8,3
1,10.62,2
1,51.22,3
1,77.63,4
1,94.62,5
0,36.24,4
1,40.64,3
0,36.91,4
1,79.71,4
0,65.05,2
0,16.29,4
1,36.69,2
1,81.43,5
0,32.71,4
1,63.51,4
0,76.71,2
0,64.92,2
0,11.27,4
1,50.12,3
0,55.42,3
1,54.81,3
1,42.84,3
1,28.82,2
1,45.45,3
1,48.93,3
1,70.18,4
1,80.74,5
0,78.61,2
0,25.16,4
0,83.81,1
0,12.35,4
1,35.82,2
0,53.14,3
1,24.43,2
1,61.82,4
1,35.17,2
1,19.32,2
1,0.47,1
0,34.99,4
1,96.08,5
1,7.91,1
1,57.59,3
1,45.0,3
1,46.38,3
0,47.23,3
1,72.61,4
0,34.23,4
1,92.97,5
1,89.61,5
1,36.64,2
0,12.56,4
1,72.81,4
0,24.69,4
1,52.78,3
0,31.08,4
1,36.22,2
0,65.3,2
0,8.71,5
0,62.76,2
0,87.9,1
1,61.87,4
1,68.26,4
1,86.94,5
0,10.67,4
0,61.74,2
1,57.94,3
0,51.25,3
0,18.18,4
1,46.34,3
1,62.15,4
1,67.01,4
1,77.74,4
1,46.91,3
1,21.7,2
0,3.14,5
1,92.58,5
0,53.4,3
1,94.5,5
1,18.74,2
1,5.63,1
1,67.34,4
0,60.77,2
1,91.27,5
1,25.85,2
0,10.36,4
0,26.65,4
1,87.49,5
1,63.01,4
1,83.8,5
1,94.31,5
1,49.2,3
1,32.91,2
1,61.11,4
1,98.13,5
0,27.33,4
0,20.47,4
1,54.97,3
0,64.05,2
1,69.62,4
1,85.15,5
1,69.27,4
0,43.68,3
0,53.42,3
1,16.87,2
0,28.79,4
0,30.18,4
0,13.4,4
0,25.02,4
0,9.76,5
1,21.02,2
1,20.27,2
0,66.04,2
1,37.38,2
1,5.44,1
0,24.35,4
1,52.21,3
0,92.71,1
1,64.31,4
1,3.43,1
1,68.1,4
1,28.38,2
1,0.04,1
1,78.38,4
0,54.2,3
0,40.54,3
1,89.22,5
0,72.42,2
1,56.3,3
1,3.43,1
1,50.34,3
0,48.29,3
1,45.46,3
0,44.61,3
1,44.17,3
1,32.57,2
0,42.48,3
1,42.45,3
0,11.5,4
0,46.83,3
0,47.78,3
1,26.0,2
0,74.34,2
1,63.67,4
0,38.38,4
0,80.78,1
1,17.79,2
1,24.64,2
0,31.41,4
1,15.52,2
1,35.4,2
0,66.39,2
1,85.35,5
0,51.35,3
1,96.09,5
0,49.78,3
0,48.63,3
1,3.57,1
0,49.67,3
0,36.37,4
0,79.8,2
1,10.58,2
1,30.28,2
0,94.84,1
1,43.78,3
1,56.96,3
0,56.8,3
1,54.32,3
0,11.07,4
1,22.8,2
1,43.83,3
0,64.04,2
0,68.85,2
0,83.46,1
1,38.89,2
1,50.28,3
0,23.51,4
1,50.04,3
0,16.14,4
1,79.71,4
1,33.62,2
1,60.24,4
1,54.92,3
1,24.45,2
0,46.48,3
0,61.01,2
0,18.97,4
1,9.81,1
1,34.83,2
0,4.66,5
0,60.59,2
1,59.11,3
0,4.55,5
1,80.13,5
1,60.52,4
0,24.76,4
1,99.04,5
1,36.06,2
0,82.06,1
1,15.71,2
0,55.35,3
1,33.05,2
0,38.06,4
1,30.77,2
1,68.97,4
0,94.21,1
1,51.01,3
1,88.66,5
1,81.03,5
1,53.04,3
0,69.98,2
1,31.76,2
1,99.15,5
1,40.06,3
0,90.32,1
1,81.24,5
1,99.29,5
0,23.54,4
1,83.72,5
0,40.89,3
1,49.03,3
0,42.89,3
0,66.95,2
0,39.9,4
1,3.08,1
0,88.01,1
1,90.78,5
1,48.79,3
1,20.34,2
1,5.36,1
1,42.38,3
0,47.83,3
1,29.32,2
1,46.83,3
1,89.77,5
0,99.48,1
